"rank","totalPoints","userID","nickname","onlineID","countryCode","driverRating","sportmanshipRating","class","manufacturer","round_1","round_2","round_3","round_4"
57,596,"cbdcc5d2-7bad-482a-bed1-eb26b1fa65b0","J.Raudasoja","oppaa89","FI","A+","S","GT1","Renault",0,292,304,0
58,594,"a96bdc80-6910-48ca-ad19-596659e192e6","BluRacer7","eRA_BluRacer7","GB","A+","S","GT1","Lexus",0,321,273,0
59,590,"da361e6b-0302-47fe-8085-7a3a5a70e7af","OZ","MYTEAM-OZ","FR","A+","S","GT1","McLaren",0,0,297,293
60,589,"66be8fbd-a43e-4e78-a3e8-d93ecef3076e","DANX","DNX1R","ES","A+","S","GT1","Lexus",0,305,284,0
61,586,"962ea12c-a5bb-413d-9fa9-d837824d0bfe","Lavanda SSG","LavandaLaRaw","RU","A+","S","GT1","Honda",0,339,0,247
62,582,"c860ea37-cfcb-476f-ac11-f0137b1ac888","S. Fonseca","ORT_serfonseca_","PT","A+","S","GT1","Porsche",272,0,0,310
63,578,"72859057-4fa4-42a6-973b-34cd3226b35a","K","K-N-9-1-1","ZA","A+","S","GT1","Porsche",0,0,297,281
64,573,"1bfcdc8e-d629-46b0-add5-55ea7bc4f091","Captain.JJ","The_Cpt_JJ","GB","A+","S","GT1","Audi",0,0,292,281
65,572,"26685c8c-a720-48a3-bdd8-f1e7ceec7d1e","NV","nvasylch","UA","A+","S","GT1","AMG",0,0,271,301
65,572,"213e384d-ab67-4116-9797-db3e8221a4ce","GOTMAXPOWER","GOTMAXPOWER","GB","A+","S","GT1","Audi",0,0,277,295
67,568,"0c659449-065d-4c1a-bc96-a126ed4bcbb0","motor_insider","motor_insider","IT","A+","S","GT1","Porsche",294,0,0,274
68,563,"263c0a62-ec6c-40fa-be46-c5cf0d96e35c","garasa-91","garasa-91","IT","A+","S","GT1","Citroen",298,265,0,0
69,562,"76195cd2-4981-4559-8cbe-6af2cdb6a2b2","O. Anttila","djolliea","FI","A+","S","GT1","Ford",0,310,252,0
70,560,"efc6f3a0-b346-4c15-9357-9dcacc90e1d8","Lenas","Racer__1896","DE","A+","S","GT1","Porsche",0,281,0,279
70,560,"a5c0f7eb-4781-4a44-9c65-59c000300d7c","DiggerDeaks","plccc39","GB","A+","S","GT1","AMG",0,296,264,0
72,559,"9a10b07b-6ac2-4f8a-abc6-8d78bcfb5109","B.Solberg","ederb123","NO","A+","S","GT1","Mazda",279,0,280,0
73,551,"7d52dd5c-d83b-4f84-a14f-be243d2e6a27","IL_ decan","IL_decan","IT","A+","S","GT1","Nissan",0,0,279,272
